,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,new_addition,trending
28,gpython,go-python/gpython,['written-in-go'],implemented-in-other-languages,https://github.com/go-python/gpython,https://github.com/go-python/gpython,BSD-3-Clause,2018-08-01 20:08:19,2026-03-02 13:02:41,2026-03-02 13:02:41,590,,105.0,23,147.0,48.0,59.0,1012,2023-06-28 08:00:04,0.2.0,1042.0,10.0,6.0,gpython is a python interpreter written in go batteries not included.,245.0,245.0,24.0,20,True,3,,,,,
29,shedskin,shedskin/shedskin,['written-in-python'],compilers,https://github.com/shedskin/shedskin,https://github.com/shedskin/shedskin,,2010-07-02 20:21:59,2026-07-02 13:18:20,2026-06-30 13:12:19,5456,33.0,115.0,39,317.0,103.0,416.0,985,2026-04-08 11:17:31,0.9.12,15462.0,114.0,30.0,Shed Skin is a restricted-Python-to-C++ compiler. Read the introduction below to learn about the restrictions.,,,28.0,20,False,2,,,,,
30,coconut,evhub/coconut,['written-in-python'],supersets,https://github.com/evhub/coconut,https://github.com/evhub/coconut,Apache-2.0,2014-10-04 23:43:11,2026-02-16 05:03:23,2025-12-31 07:03:46,5251,,141.0,57,133.0,83.0,691.0,4339,2025-12-31 07:05:54,3.2.0,,,44.0,"Simple, elegant, Pythonic functional programming.",,,38.0,19,True,2,,,,,
31,starlark-go,google/starlark-go,['written-in-go'],implemented-in-other-languages,https://github.com/google/starlark-go,https://github.com/google/starlark-go,BSD-3-Clause,2018-10-23 14:35:50,2026-06-30 14:41:01,2026-06-30 14:40:53,481,4.0,233.0,40,388.0,50.0,195.0,2723,,,,,,"Starlark in Go: the Starlark configuration language, implemented in Go.",3.0,3.0,85.0,19,True,3,,,,True,
32,lpython,lcompilers/lpython,['written-in-cpp'],compilers,https://github.com/lcompilers/lpython,https://github.com/lcompilers/lpython,,2021-12-29 18:56:36,2025-12-11 16:15:54,2025-12-11 16:15:54,14590,,176.0,28,1834.0,502.0,540.0,1633,2024-07-08 20:03:30,0.22.0,225.0,5.0,15.0,Python compiler.,,,80.0,19,False,3,,,,True,
33,jython,jython/jython,['written-in-java'],implemented-in-other-languages,https://github.com/jython/jython,https://github.com/jython/jython,,2020-07-25 16:17:43,2026-06-30 12:03:48,2026-06-30 12:03:48,8504,14.0,228.0,45,137.0,101.0,196.0,1520,,,,,,Python for the Java Platform.,,,92.0,19,False,3,,,,,
34,pycopy,pfalcon/pycopy,['written-in-c'],subsets,https://github.com/pfalcon/pycopy,https://github.com/pfalcon/pycopy,MIT,2013-12-29 11:38:47,2024-02-06 21:00:13,2021-12-14 10:30:11,12948,,70.0,29,10.0,28.0,33.0,819,2021-12-03 11:50:38,3.6.1,1134.0,14.0,43.0,"Pycopy - a minimalist and memory-efficient Python dialect. Good for desktop, cloud, constrained systems,..",,,413.0,19,False,3,,,,True,
35,nogil,colesbury/nogil,['written-in-c'],cpython-forks,https://github.com/colesbury/nogil,https://github.com/colesbury/nogil,,2021-10-06 18:41:08,2025-05-20 19:07:32,2025-05-20 19:07:31,109272,,103.0,1,6.0,31.0,94.0,2917,2023-04-02 02:12:01,3.9.10-nogil-2023-04-01,649.0,12.0,3.0,Multithreaded Python without the GIL.,,,1397.0,18,False,3,,,,True,
36,basilisp,basilisp-lang/basilisp,['written-in-python'],supersets,https://github.com/basilisp-lang/basilisp,https://github.com/basilisp-lang/basilisp,EPL-1.0,2018-05-13 16:07:19,2026-06-12 19:42:39,2026-05-27 10:56:29,676,6.0,22.0,11,718.0,46.0,552.0,472,2026-04-09 23:10:46,0.5.1,350.0,3.0,41.0,A Clojure-compatible(-ish) Lisp dialect hosted on Python 3 with seamless Python interop.,37.0,37.0,10.0,18,False,2,,,,,
37,edge-python,dylan-sutton-chavez/edge-python,['written-in-rust'],implemented-in-other-languages,https://github.com/dylan-sutton-chavez/edge-python,https://github.com/dylan-sutton-chavez/edge-python,MIT,2026-03-11 06:52:28,2026-06-25 12:48:51,2026-06-25 12:48:47,1183,1023.0,12.0,4,26.0,1.0,1.0,245,2026-06-18 04:21:35,0.2.0,42.0,42.0,10.0,"Single-pass SSA bytecode compiler and threaded-code stack VM for a sandboxed Python subset: NaN-boxed values, inline..",,,,18,True,3,,,,True,
38,bython,mathialo/bython,['written-in-python'],supersets,https://github.com/mathialo/bython,https://github.com/mathialo/bython,MIT,2016-04-06 09:09:11,2020-11-26 05:23:59,2018-11-29 10:56:43,170,,66.0,18,12.0,36.0,27.0,2672,2018-11-29 12:11:25,0.8,,179.0,5.0,"Python with braces. Because python is awesome, but whitespace is awful.",24.0,24.0,2.0,17,False,2,bython,https://pypi.org/project/bython,179.0,True,
39,pytocs,uxmal/pytocs,['written-in-csharp'],compilers,https://github.com/uxmal/pytocs,https://github.com/uxmal/pytocs,Apache-2.0,2015-07-22 13:38:45,2023-03-09 05:55:57,2023-02-23 11:09:09,369,,157.0,38,14.0,18.0,72.0,586,2022-11-20 00:10:27,2.0.0,5998.0,45.0,5.0,Converts Python source to C#.,,,11.0,17,False,3,,,,True,
40,rapydscript-ng,kovidgoyal/rapydscript-ng,['written-in-javascript'],supersets,https://github.com/kovidgoyal/rapydscript-ng,https://github.com/kovidgoyal/rapydscript-ng,BSD-2-Clause,2015-07-14 00:53:20,2026-05-29 14:12:00,2026-05-29 14:11:52,1113,9.0,45.0,20,10.0,10.0,162.0,204,,,,,,A transpiler for a Python like language to JavaScript.,17.0,17.0,13.0,17,True,2,,,,True,
41,batavia,beeware/batavia,['written-in-javascript'],implemented-in-other-languages,https://github.com/beeware/batavia,https://github.com/beeware/batavia,,2015-08-09 01:40:34,2020-05-31 05:55:55,2020-05-31 05:55:42,2238,,412.0,7,691.0,50.0,96.0,1379,,,,,,A JavaScript implementation of the Python virtual machine.,6.0,6.0,222.0,16,False,3,,,,True,
42,rapydscript,atsepkov/RapydScript,['written-in-javascript'],supersets,https://github.com/atsepkov/RapydScript,https://github.com/atsepkov/RapydScript,BSD-2-Clause,2013-04-29 01:55:10,2023-07-26 22:33:26,2023-07-26 22:33:26,755,,65.0,34,91.0,22.0,140.0,689,2020-10-17 12:46:06,0.6.00,115.0,1.0,2.0,"Python-inspired, decluttered JavaScript.",82.0,82.0,15.0,16,False,3,,,,,
43,hissp,gilch/hissp,['written-in-python'],supersets,https://github.com/gilch/hissp,https://github.com/gilch/hissp,Apache-2.0,2019-05-05 21:20:44,2026-07-01 00:27:25,2026-07-01 00:27:22,1435,36.0,14.0,3,189.0,30.0,75.0,446,2024-11-11 03:39:25,0.5.0,54.0,0.0,5.0,Its Python with a Lissp.,6.0,6.0,3.0,16,True,3,,,,,
44,starlark,bazelbuild/starlark,['written-in-go'],subsets,https://github.com/bazelbuild/starlark,https://github.com/bazelbuild/starlark,Apache-2.0,2018-08-16 16:04:57,2026-02-06 18:27:51,2026-02-06 18:27:50,136,,175.0,56,181.0,68.0,93.0,3034,,,,,,Starlark Language.,,,32.0,15,True,3,,,,,
45,stackless,stackless-dev/stackless,['written-in-c'],supersets,https://github.com/stackless-dev/stackless,https://github.com/stackless-dev/stackless,,2017-09-05 14:36:10,2025-02-13 14:11:16,2025-02-13 14:11:16,106030,,63.0,2,40.0,12.0,256.0,1050,,,,,,The Stackless Python programming language.,,,1002.0,15,False,3,,,,,
46,kuroko,kuroko-lang/kuroko,['written-in-c'],supersets,https://github.com/kuroko-lang/kuroko,https://github.com/kuroko-lang/kuroko,MIT,2020-12-26 07:59:31,2026-05-30 21:47:01,2026-05-30 21:46:52,1457,6.0,34.0,12,,13.0,32.0,482,2023-08-28 00:58:37,1.4.0,760.0,11.0,16.0,"Dialect of Python with explicit variable declaration and block scoping, with a lightweight and easy-to-embed bytecode..",,,2.0,15,True,3,,,,True,
47,dg,pyos/dg,['written-in-python'],supersets,https://github.com/pyos/dg,https://github.com/pyos/dg,MIT,2014-03-04 09:19:37,2020-06-20 12:21:52,2020-06-14 13:03:52,1025,,21.0,22,5.0,15.0,33.0,580,,,,,,A programming language for the CPython VM.,10.0,10.0,2.0,14,False,3,,,,,
48,pytago,nottheswimmer/pytago,['written-in-python'],compilers,https://github.com/nottheswimmer/pytago,https://github.com/nottheswimmer/pytago,MIT,2021-06-05 01:00:47,2026-01-07 08:25:57,2026-01-07 08:25:56,183,,30.0,10,4.0,12.0,7.0,396,2021-07-06 03:07:55,0.0.12,,,11.0,A source-to-source transpiler for Python to Go translation.,3.0,3.0,6.0,14,True,3,,,,True,
49,py2wasm,wasmerio/py2wasm,['written-in-python'],compilers,https://github.com/wasmerio/py2wasm,https://github.com/wasmerio/py2wasm,Apache-2.0,2024-04-17 10:09:37,2024-06-05 08:20:06,2024-04-10 07:13:30,12230,,8.0,4,,18.0,,231,,,,,,"A Python to WebAssembly (Wasm) compiler, based on Nuitka.",,,170.0,14,False,3,,,,True,
50,x-python,rocky/x-python,['written-in-python'],implemented-in-other-languages,https://github.com/rocky/x-python,https://github.com/rocky/x-python,MIT,2020-04-28 12:48:58,2026-02-08 16:04:22,2026-02-08 16:04:14,795,,17.0,3,10.0,,,101,2025-10-08 01:41:51,1.5.3,1479.0,526.0,15.0,A Python implementation of the C Python Interpreter.,4.0,4.0,12.0,14,True,3,x-python,https://pypi.org/project/x-python,507.0,True,
51,mypyc,mypyc/mypyc,['written-in-python'],compilers,https://github.com/mypyc/mypyc,https://github.com/mypyc/mypyc,,2017-07-24 10:41:19,2023-04-17 10:24:19,2021-03-07 14:04:25,643,,48.0,37,441.0,287.0,469.0,2004,,,,,,Compile type annotated Python to fast C extensions.,,,20.0,13,False,3,,,,,
52,mochi,i2y/mochi,['written-in-python'],supersets,https://github.com/i2y/mochi,https://github.com/i2y/mochi,MIT,2014-11-09 13:35:19,2016-07-07 21:20:56,2016-07-07 21:20:44,402,,28.0,42,25.0,12.0,9.0,913,,,,,,Dynamically typed functional programming language.,6.0,6.0,11.0,13,False,3,,,,,
53,rusthon,rusthon/Rusthon,['written-in-python'],compilers,https://github.com/rusthon/Rusthon,https://github.com/rusthon/Rusthon,,2014-11-21 17:38:17,2017-08-09 02:25:04,2016-02-19 18:22:13,1991,,51.0,46,12.0,6.0,24.0,903,2015-11-13 18:25:57,0.9.9s,529.0,3.0,19.0,"multi-lang transpiler, compiler frontend.",,,14.0,13,False,3,,,,True,
54,prometeo,zanellia/prometeo,['written-in-python'],compilers,https://github.com/zanellia/prometeo,https://github.com/zanellia/prometeo,BSD-2-Clause,2017-12-26 22:45:53,2022-05-19 16:32:39,2022-05-19 16:26:08,714,,34.0,12,21.0,6.0,4.0,654,,,,,10.0,An experimental Python-to-C transpiler and domain specific language for embedded high-performance computing.,2.0,2.0,6.0,12,False,3,,,,True,
55,cl-python,metawilm/cl-python,,implemented-in-other-languages,https://github.com/metawilm/cl-python,https://github.com/metawilm/cl-python,,2009-05-14 18:00:17,2024-06-13 20:33:13,2022-03-10 15:51:06,1490,,35.0,27,10.0,2.0,16.0,396,,,,,,An implementation of Python in Common Lisp.,,,12.0,11,False,3,,,,True,
56,pytra,yaneurao/Pytra,['written-in-python'],compilers,https://github.com/yaneurao/Pytra,https://github.com/yaneurao/Pytra,Apache-2.0,2026-02-16 06:35:20,2026-05-03 19:55:13,2026-05-03 19:30:57,7215,695.0,11.0,2,7.0,,1.0,292,,,,,,"Ultimate transpiler: converts Python to C++, Rust, C#, PowerShell, JavaScript, TypeScript, Dart, Go, Java, Swift,..",,,2.0,11,True,3,,,,True,
57,violet,LiarPrincess/Violet,['written-in-swift'],implemented-in-other-languages,https://github.com/LiarPrincess/Violet,https://github.com/LiarPrincess/Violet,MIT,2021-10-06 11:37:36,2025-02-13 11:14:10,2025-02-13 11:14:08,2225,,7.0,5,14.0,7.0,3.0,194,,,,,,Python VM written in Swift.,,,3.0,11,False,3,,,,,
58,minipy,xupingmao/minipy,['written-in-c'],implemented-in-other-languages,https://github.com/xupingmao/minipy,https://github.com/xupingmao/minipy,MIT,2015-08-02 10:05:28,2025-10-02 12:57:46,2025-08-03 12:17:15,411,,16.0,8,2.0,2.0,14.0,87,,,,,,Python(A python interpreter).,,,7.0,9,False,3,,,,True,
59,mingshe,abersheeran/mingshe,['written-in-python'],supersets,https://github.com/abersheeran/mingshe,https://github.com/abersheeran/mingshe,Apache-2.0,2021-05-14 07:03:58,2023-10-27 06:46:22,2023-10-27 06:46:22,88,,2.0,3,13.0,2.0,6.0,55,2021-12-28 03:25:21,0.8.2,,92.0,12.0,A better Python. It is also a template for you to create a superset of Python.,2.0,2.0,2.0,9,False,3,mingshe,https://pypi.org/project/mingshe,92.0,True,
60,skybison,tekknolagi/skybison,['written-in-cpp'],cpython-forks,https://github.com/tekknolagi/skybison,https://github.com/tekknolagi/skybison,,2021-08-31 07:49:53,2026-06-16 16:58:29,2024-02-22 20:59:55,5239,,3.0,1,76.0,437.0,15.0,51,,,,,,A fork of Instagrams experimental performance oriented greenfield implementation of Python. It features small objects;..,,,90.0,9,False,3,,,,,
61,osmium,Rexicon226/osmium,['written-in-zig'],implemented-in-other-languages,https://github.com/Rexicon226/osmium,https://github.com/Rexicon226/osmium,GPL-3.0,2023-12-20 18:26:16,2024-12-31 04:50:47,2024-12-31 04:49:54,142,,5.0,1,17.0,1.0,1.0,63,,,,,,A Python Interpreter written in Zig.,,,,5,False,3,,,,,
62,makrell,hcholm/makrell-py,['written-in-python'],supersets,https://github.com/hcholm/makrell-py,https://github.com/hcholm/makrell-py,MIT,2024-02-01 22:20:10,2026-04-03 12:32:19,2026-04-03 12:32:18,68,,,1,2.0,,,17,,,,,,,2.0,2.0,2.0,3,False,3,,,,True,
